title,original_title,year,duration,presentation,director,writers
John Wick: Chapter 4,,Cast & crew,,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that tur...",Chad Stahelski,"['Chad Stahelski', 'Shay Hatten', 'Michael Finch', 'Derek Kolstad', 'Keanu Reeves', 'Laurence Fishburne', 'George Georgiou', 'Chad Stahelski', 'Shay Hatten', 'Michael Finch', 'Derek Kolstad', 'Keanu Reeves', 'Laurence Fishburne', 'George Georgiou', None, 'Chad Stahelski', 'Shay Hatten', 'Michael Finch', 'Derek Kolstad', 'March 24, 2023 (United States)', 'United States', 'Germany', 'John Wick (Japan)', 'English', None, 'Wadi Rum Desert, Jordan', '87Eleven Entertainment', 'Lionsgate', 'Studio Babelsberg', None, None, None, None, None, 'Color', 'Dolby Atmos', None]"
Lucifer,,Cast & crew,,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the Ci...,Tom Kapinos,"['Tom Kapinos', 'Lauren German', 'Lesley-Ann Brandt', 'Rachael Harris', 'Tom Kapinos', 'Lauren German', 'Lesley-Ann Brandt', 'Rachael Harris', None, 'Tom Kapinos', 'January 25, 2016 (United States)', 'United States', 'Official Facebook', 'Official Instagram', 'English', None, 'Vancouver, British Columbia, Canada', 'Aggressive Mediocrity', 'DC Entertainment', 'Jerry Bruckheimer Television', 'Color', 'Stereo', 'Dolby Digital', None]"
The Chosen,,Cast & crew,,A charismatic fisherman struggling with debt. A troubled woman wrestling with demons. A gifted accountant ostracised from his family and people. In this ground-breaking first season of The C...,Dallas Jenkins,"['Dallas Jenkins', 'Shahar Isaac', 'Jonathan Roumie', 'Paras Patel', 'Dallas Jenkins', 'Shahar Isaac', 'Jonathan Roumie', 'Paras Patel', None, 'Dallas Jenkins', 'April 19, 2019 (United States)', 'United States', 'English', None, 'LDS Motion Picture Studio, Goshen, Utah, USA', 'Out of Order Studios', 'Color', 'Stereo', None]"
Chicago Fire,,Cast & crew,,"The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level.",Michael Brandt,"['Michael Brandt', 'Derek Haas', 'Taylor Kinney', 'Christian Stolte', 'Eamonn Walker', 'Michael Brandt', 'Derek Haas', 'Taylor Kinney', 'Christian Stolte', 'Eamonn Walker', None, 'Michael Brandt', 'Derek Haas', 'October 10, 2012 (United States)', 'United States', 'NBC (United States)', 'Official Facebook', 'English', None, '1360 S. Blue Island Ave, Chicago, Illinois, USA', 'Wolf Films', 'Universal Television', 'Color', 'Dolby Digital', None]"
Unforgotten,,Cast & crew,,"London detectives investigate crimes from the past, unravelling secrets left buried for years.",Chris Lang,"['Chris Lang', 'Sanjeev Bhaskar', 'Jordan Long', 'Nicola Walker', 'Chris Lang', 'Sanjeev Bhaskar', 'Jordan Long', 'Nicola Walker', None, 'Chris Lang', 'April 8, 2018 (United States)', 'United Kingdom', 'English', 'Spanish', 'Arabic', None, 'Manchester, England, UK', 'Mainstreet Pictures', 'Cactus Films', 'Color', 'Stereo', None]"
Happy Valley,,Cast & crew,,Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,Sally Wainwright,"['Sally Wainwright', 'Sarah Lancashire', 'Siobhan Finneran', 'James Norton', 'Sally Wainwright', 'Sarah Lancashire', 'Siobhan Finneran', 'James Norton', None, 'Sally Wainwright', 'April 29, 2014 (United States)', 'United Kingdom', 'English', None, 'Calder Valley, West Yorkshire, England, UK', 'Red Production Company', 'British Broadcasting Corporation (BBC)', 'Color', 'Stereo', None]"
American Horror Story,,Cast & crew,,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possess...",Brad Falchuk,"['Brad Falchuk', 'Ryan Murphy', 'Lady Gaga', 'Kathy Bates', 'Angela Bassett', 'Brad Falchuk', 'Ryan Murphy', 'Lady Gaga', 'Kathy Bates', 'Angela Bassett', None, 'Brad Falchuk', 'Ryan Murphy', 'October 5, 2011 (United States)', 'United States', 'Official Facebook', 'Official Instagram', 'English', None, 'New Orleans, Louisiana, USA', 'FX Network', 'Brad Falchuk Teley-Vision', 'Ryan Murphy Productions', 'Color', 'Dolby Digital', None]"
